template,optimized_title
{TOPIC} {SITUATION},마인크래프트 탐험하기 | ⛏️ 신비한 바이옴·숨겨진 유적과 보물 던전 한 번에!
{SITUATION} {TOPIC},"그냥 내비대로 가주세요: 기념일 드라이브, 예상 못한 코스로 가봅니다! 🎉"
{TOPIC} {EVENT},"퇴사자 당근마켓 레전드 | 실제 거래 모음 · 실화 썰 대방출! 노컷 하이라이트, 현웃 주의 🤯"
{SERIES} {TOPIC} {ENG},[LG TWINS] 노래 모음 플리 | 응원감성 가득! Playlist 🎧
{SERIES} {TOPIC} {EVENT},[예고] 다크소울 플레이리스트 | 보스전·전투 몰입도 BGM 타격감 폭발! 🔥
{SERIES} {SITUATION} {TOPIC} {REACTION},[웃소] 퇴사마려운 직장인 레전드 명장면 모음.zip 웃픈 회사생활 공감 😂!
{TOPIC} {SITUATION} {LOC},"여행, 쓸쓸하지 않은 제주도｜혼자여도 따뜻한 감성 코스 추천!｜카페·해변·노을 🏝️"
{ENG} {PERSON}의 {SITUATION} {TOPIC},[ENG SUB] 아이유의 웃으면 안 되는 생일파티 🎂 레전드 모먼트 모음!
{SERIES} {TOPIC} {SITUATION} {NUM} {ENG},[영업중] 돈가스 가게에서 생기는 일: 바삭 비밀 공개!🍽️ 노컷 00 EN
{PERSON} {SITUATION},감스트 인턴 첫 출근합니다! | 오늘 브이로그 비하인드 공개 👔 [현장 스케치]
{SERIES} {TOPIC} {SITUATION} {LOC} {NUM},[sub] 베트남 먹방 부산 현지 맛 그대로! 로컬 추천 맛집 투어 🍜 00
{SERIES} {SITUATION} {REACTION},"[무공해] 해도 해도 너무한 순간들, 근데도 이상하게 진짜 공감합니다! 😂"
{SERIES} {PERSON} {TOPIC} {EVENT} {NUM},[사터뷰 시즌2] 사나 총결산 냉터뷰 00 | 레전드 모음·하이라이트! 🔥
{TOPIC} {SITUATION} {ENG},팝송 잘못된 플리 | 분위기 파괴 선곡 😅 [Wrong Pop Playlist]!
{TOPIC} {EVENT} {SITUATION},[금지된 학교축제] 귀신의 집에서 완전 창자 빠지게 놀기 👻 공포주의/소름주의!
