template_id,template,count,share,avg_pred_views
NA,{ENG} {PERSON}의 {SITUATION} {TOPIC},1,0.06666666666666667,11.228382722715375
NA,{PERSON} {SITUATION},1,0.06666666666666667,11.228382722715375
NA,{SERIES} {PERSON} {TOPIC} {EVENT} {NUM},1,0.06666666666666667,11.228382722715375
NA,{SERIES} {SITUATION} {REACTION},1,0.06666666666666667,11.228382722715375
NA,{SERIES} {SITUATION} {TOPIC} {REACTION},1,0.06666666666666667,11.228382722715375
NA,{SERIES} {TOPIC} {ENG},1,0.06666666666666667,11.228382722715375
NA,{SERIES} {TOPIC} {EVENT},1,0.06666666666666667,11.228382722715375
NA,{SERIES} {TOPIC} {SITUATION} {LOC} {NUM},1,0.06666666666666667,11.228382722715375
NA,{SERIES} {TOPIC} {SITUATION} {NUM} {ENG},1,0.06666666666666667,11.228382722715375
NA,{SITUATION} {TOPIC},1,0.06666666666666667,11.228382722715375
NA,{TOPIC} {EVENT},1,0.06666666666666667,11.228382722715375
NA,{TOPIC} {EVENT} {SITUATION},1,0.06666666666666667,11.228382722715375
NA,{TOPIC} {SITUATION},1,0.06666666666666667,11.228382722715375
NA,{TOPIC} {SITUATION} {ENG},1,0.06666666666666667,11.228382722715375
NA,{TOPIC} {SITUATION} {LOC},1,0.06666666666666667,11.228382722715375
